Date,Open,High,Low,Close,Volume
2021-07-08,220.0,220.0,220.0,220.0,111700
2021-07-09,242.0,242.0,242.0,242.0,5700
2021-07-12,266.0,266.0,266.0,266.0,56100
2021-07-13,292.0,292.0,292.0,292.0,33800
2021-07-14,320.0,320.0,300.0,300.0,1727300
2021-07-15,270.0,270.0,270.0,270.0,249400
2021-07-16,244.0,296.0,244.0,296.0,9862000
2021-07-19,294.0,324.0,294.0,324.0,8028600
2021-07-21,324.0,336.0,322.0,330.0,1944400
2021-07-22,332.0,354.0,330.0,344.0,6065100
2021-07-23,346.0,358.0,344.0,354.0,2616500
2021-07-26,352.0,356.0,342.0,344.0,1377600
2021-07-27,344.0,352.0,336.0,346.0,3198000
2021-07-28,346.0,352.0,346.0,350.0,4177100
2021-07-29,350.0,370.0,348.0,366.0,3445000
2021-07-30,366.0,402.0,366.0,402.0,9689100
2021-08-02,402.0,404.0,382.0,386.0,2764200
2021-08-03,386.0,410.0,384.0,404.0,5720600
2021-08-04,406.0,416.0,404.0,414.0,3802200
2021-08-05,414.0,434.0,374.0,412.0,15585400
2021-08-06,414.0,422.0,408.0,412.0,2572600
2021-08-09,414.0,438.0,408.0,438.0,4094400
2021-08-10,440.0,440.0,430.0,438.0,3759200
2021-08-12,438.0,440.0,438.0,440.0,259300
2021-08-13,438.0,440.0,432.0,438.0,2401100
2021-08-16,438.0,438.0,424.0,426.0,981600
2021-08-18,426.0,430.0,412.0,430.0,1886100
2021-08-19,430.0,436.0,426.0,432.0,1898100
2021-08-20,432.0,434.0,426.0,434.0,1282700
2021-08-23,432.0,438.0,430.0,436.0,1778300
2021-08-24,436.0,438.0,432.0,436.0,2369900
2021-08-25,436.0,438.0,432.0,438.0,2482000
2021-08-26,436.0,440.0,432.0,438.0,2461900
2021-08-27,434.0,438.0,432.0,438.0,2390500
2021-08-30,432.0,438.0,432.0,436.0,2535800
2021-08-31,432.0,466.0,430.0,446.0,11150500
2021-09-01,444.0,444.0,430.0,430.0,2644000
2021-09-02,428.0,428.0,388.0,388.0,1813500
2021-09-03,350.0,388.0,350.0,378.0,2375900
2021-09-06,372.0,378.0,342.0,342.0,4203900
2021-09-07,342.0,376.0,342.0,376.0,6869100
2021-09-08,376.0,378.0,358.0,374.0,2846700
2021-09-09,372.0,374.0,362.0,370.0,2503500
2021-09-10,370.0,402.0,368.0,368.0,4180400
2021-09-13,368.0,378.0,366.0,376.0,2966000
2021-09-14,368.0,380.0,368.0,380.0,3172300
2021-09-15,376.0,384.0,370.0,380.0,2732300
2021-09-16,378.0,382.0,370.0,380.0,2955600
