Date,Open,High,Low,Close,Volume
2024-04-01,152.0,171.0,116.0,139.0,700397300
2024-04-02,139.0,147.0,105.0,108.0,195863000
2024-04-03,99.0,113.0,96.0,100.0,76796400
2024-04-04,100.0,117.0,100.0,116.0,114071800
2024-04-05,116.0,125.0,110.0,113.0,25798900
2024-04-16,115.0,116.0,106.0,111.0,23738500
2024-04-17,112.0,113.0,109.0,111.0,24029900
2024-04-18,112.0,148.0,110.0,131.0,338272800
2024-04-19,133.0,133.0,118.0,120.0,62234300
2024-04-22,120.0,127.0,120.0,124.0,23863400
2024-04-23,125.0,126.0,120.0,123.0,14450300
2024-04-24,123.0,129.0,108.0,122.0,63346200
2024-04-25,124.0,126.0,111.0,113.0,43274600
2024-04-26,113.0,113.0,106.0,109.0,22105600
2024-04-29,108.0,116.0,108.0,112.0,12014400
2024-04-30,112.0,116.0,112.0,113.0,7558800
2024-05-02,113.0,115.0,101.0,103.0,26948300
2024-05-03,104.0,107.0,103.0,105.0,20845200
2024-05-06,106.0,125.0,105.0,123.0,78954800
2024-05-07,124.0,131.0,120.0,123.0,27617200
2024-05-08,125.0,136.0,125.0,136.0,51280000
2024-05-13,136.0,139.0,128.0,133.0,21979200
2024-05-14,135.0,143.0,135.0,142.0,49316900
2024-05-15,142.0,146.0,139.0,142.0,34060300
2024-05-16,143.0,145.0,133.0,142.0,23171200
2024-05-17,142.0,186.0,141.0,141.0,107619100
2024-05-20,142.0,169.0,141.0,168.0,72201600
2024-05-21,171.0,171.0,146.0,150.0,32761600
2024-05-22,143.0,162.0,143.0,153.0,29619800
2024-05-27,153.0,158.0,152.0,156.0,13922400
2024-05-28,158.0,166.0,156.0,163.0,37863800
2024-05-29,165.0,175.0,163.0,166.0,68887700
2024-05-30,166.0,167.0,154.0,160.0,13584600
2024-05-31,159.0,166.0,120.0,120.0,34941300
2024-06-03,134.0,153.0,122.0,150.0,56592700
2024-06-04,151.0,164.0,145.0,156.0,39977700
2024-06-05,157.0,163.0,150.0,154.0,18869500
