Date,Open,High,Low,Close,Volume
2023-08-07,118.0,118.0,98.0,98.0,182956900
2023-08-08,89.0,90.0,89.0,89.0,12064300
2023-08-09,81.0,81.0,81.0,81.0,7959800
2023-08-10,73.0,82.0,73.0,73.0,61192600
2023-08-11,66.0,77.0,66.0,67.0,46455500
2023-08-14,69.0,69.0,61.0,61.0,21666300
2023-08-15,63.0,63.0,55.0,56.0,60648600
2023-08-16,52.0,56.0,52.0,55.0,32151600
2023-08-18,55.0,55.0,52.0,54.0,20847300
2023-08-21,53.0,54.0,50.0,51.0,21625700
2023-08-22,47.0,51.0,46.0,47.0,28089300
2023-08-23,46.0,51.0,46.0,51.0,9933900
2023-08-24,56.0,56.0,53.0,56.0,35917600
2023-08-25,61.0,61.0,58.0,61.0,26818300
2023-08-28,67.0,67.0,65.0,67.0,10763700
2023-08-29,73.0,73.0,61.0,61.0,17160900
2023-08-30,55.0,55.0,55.0,55.0,4699700
2023-08-31,50.0,55.0,50.0,53.0,24613400
2023-09-01,50.0,58.0,50.0,58.0,11384200
2023-09-04,60.0,63.0,53.0,54.0,16713100
2023-09-05,50.0,55.0,50.0,53.0,7945200
2023-09-06,54.0,57.0,53.0,55.0,20712100
2023-09-07,55.0,55.0,51.0,53.0,7858200
2023-09-08,53.0,55.0,53.0,54.0,4853400
2023-09-11,55.0,55.0,51.0,52.0,4209800
2023-09-12,52.0,53.0,50.0,52.0,2044400
2023-09-13,52.0,52.0,50.0,51.0,1490000
2023-09-14,50.0,51.0,47.0,50.0,4050500
2023-09-15,50.0,51.0,48.0,50.0,4286100
2023-09-18,49.0,50.0,47.0,49.0,5336400
2023-09-19,45.0,49.0,45.0,47.0,1780200
2023-09-20,48.0,51.0,46.0,50.0,6598200
2023-09-21,50.0,51.0,48.0,49.0,1389600
2023-09-22,48.0,49.0,47.0,47.0,1455700
2023-09-25,48.0,49.0,47.0,49.0,1276200
2023-09-26,48.0,49.0,47.0,47.0,1016900
2023-09-27,48.0,48.0,44.0,45.0,3990600
2023-09-29,44.0,45.0,42.0,43.0,2611900
2023-10-02,42.0,43.0,40.0,41.0,4677100
2023-10-03,42.0,45.0,41.0,45.0,4283400
2023-10-04,48.0,48.0,41.0,43.0,7269300
2023-10-05,46.0,46.0,41.0,42.0,1003100
2023-10-06,43.0,46.0,42.0,45.0,2103000
2023-10-09,44.0,46.0,42.0,45.0,2174700
2023-10-10,45.0,45.0,41.0,42.0,1151200
2023-10-11,42.0,43.0,40.0,42.0,2783600
2023-10-12,42.0,42.0,40.0,42.0,1386600
2023-10-13,41.0,46.0,40.0,46.0,6107900
2023-10-16,48.0,50.0,46.0,50.0,7777800
2023-10-17,50.0,54.0,45.0,46.0,10445700
2023-10-18,46.0,46.0,42.0,44.0,4312500
2023-10-19,44.0,48.0,44.0,46.0,2158300
2023-10-20,46.0,46.0,44.0,45.0,760000
2023-10-23,45.0,46.0,43.0,45.0,10448100
2023-10-24,44.0,48.0,44.0,46.0,2876800
2023-10-25,45.0,46.0,44.0,46.0,262000
2023-10-26,45.0,46.0,44.0,46.0,6003400
2023-10-27,44.0,46.0,44.0,46.0,3021000
2023-10-30,45.0,46.0,44.0,45.0,143700
2023-10-31,44.0,46.0,43.0,45.0,906100
2023-11-01,44.0,45.0,42.0,44.0,706600
2023-11-02,44.0,44.0,42.0,44.0,1415600
2023-11-03,40.0,45.0,40.0,44.0,301200
2023-11-06,41.0,47.0,41.0,44.0,458400
2023-11-07,43.0,44.0,42.0,43.0,449100
2023-11-08,43.0,44.0,41.0,43.0,1795600
2023-11-09,47.0,47.0,41.0,43.0,1739000
2023-11-10,39.0,44.0,39.0,43.0,1135800
2023-11-13,47.0,47.0,41.0,42.0,848500
2023-11-14,38.0,43.0,38.0,41.0,880000
2023-11-15,45.0,45.0,39.0,43.0,2201100
2023-11-16,39.0,45.0,39.0,43.0,1928400
2023-11-17,42.0,43.0,41.0,43.0,1007900
2023-11-20,42.0,43.0,40.0,42.0,630600
2023-11-21,41.0,42.0,40.0,42.0,311300
2023-11-22,41.0,42.0,40.0,42.0,951400
2023-11-23,42.0,42.0,39.0,40.0,771700
2023-11-24,40.0,41.0,40.0,40.0,608100
2023-11-27,41.0,45.0,39.0,43.0,3457200
2023-11-28,43.0,44.0,41.0,43.0,756700
2023-11-29,42.0,43.0,40.0,43.0,365000
2023-11-30,42.0,42.0,40.0,42.0,1465100
2023-12-01,42.0,42.0,39.0,42.0,285700
2023-12-04,40.0,42.0,40.0,42.0,524700
2023-12-05,42.0,42.0,40.0,41.0,285900
2023-12-06,40.0,41.0,40.0,41.0,316100
2023-12-07,40.0,41.0,39.0,40.0,558800
2023-12-08,42.0,42.0,39.0,40.0,202600
2023-12-11,40.0,40.0,37.0,39.0,1174000
2023-12-12,39.0,40.0,38.0,39.0,959700
2023-12-13,40.0,42.0,37.0,40.0,3303700
2023-12-14,40.0,44.0,38.0,44.0,6952000
2023-12-15,44.0,45.0,42.0,43.0,742700
2023-12-18,39.0,44.0,39.0,42.0,1121200
2023-12-19,41.0,42.0,39.0,42.0,553500
2023-12-20,41.0,41.0,40.0,41.0,2457400
2023-12-21,42.0,45.0,39.0,43.0,1493800
2023-12-22,43.0,45.0,41.0,44.0,1114600
2023-12-27,45.0,45.0,42.0,44.0,398000
2023-12-28,43.0,44.0,39.0,43.0,2548200
2023-12-29,42.0,44.0,41.0,44.0,742900
2024-01-02,44.0,45.0,42.0,44.0,765100
