Date,Open,High,Low,Close,Volume
2025-01-08,120.0,135.0,112.0,135.0,530888200
2025-01-09,148.0,149.0,100.0,105.0,282914800
2025-01-10,104.0,108.0,87.0,105.0,145910700
2025-01-13,110.0,114.0,100.0,104.0,83581900
2025-01-14,105.0,114.0,102.0,109.0,65215800
2025-01-15,105.0,108.0,102.0,102.0,15778500
2025-01-16,102.0,102.0,92.0,95.0,23608400
2025-01-17,90.0,102.0,90.0,97.0,16638500
2025-01-20,98.0,102.0,94.0,97.0,9749000
2025-01-21,97.0,97.0,93.0,93.0,5034600
2025-01-22,93.0,96.0,91.0,92.0,5789800
2025-01-23,92.0,94.0,87.0,87.0,6341900
2025-01-24,86.0,90.0,82.0,82.0,9490000
2025-01-30,84.0,96.0,84.0,84.0,21380800
2025-01-31,84.0,87.0,81.0,86.0,11461600
2025-02-03,88.0,88.0,81.0,82.0,4358000
2025-02-04,82.0,84.0,78.0,84.0,5872800
2025-02-05,83.0,87.0,79.0,86.0,12023400
2025-02-06,86.0,87.0,82.0,85.0,10083200
2025-02-07,85.0,89.0,81.0,88.0,13826000
2025-02-10,89.0,101.0,83.0,85.0,95396500
2025-02-11,87.0,89.0,83.0,88.0,14347300
2025-02-12,88.0,90.0,85.0,86.0,5919800
2025-02-13,86.0,89.0,85.0,88.0,5161000
2025-02-14,89.0,89.0,87.0,88.0,3905100
2025-02-17,88.0,89.0,86.0,87.0,3513300
2025-02-18,87.0,92.0,86.0,92.0,11523400
2025-02-19,93.0,93.0,89.0,89.0,3599800
2025-02-20,89.0,91.0,88.0,90.0,3660900
2025-02-21,90.0,91.0,89.0,90.0,3928900
2025-02-24,91.0,92.0,86.0,90.0,7034800
2025-02-25,90.0,95.0,88.0,93.0,16448800
2025-02-26,94.0,98.0,89.0,89.0,11611600
2025-02-27,90.0,91.0,89.0,90.0,3899600
2025-02-28,90.0,91.0,88.0,89.0,2928000
2025-03-03,88.0,91.0,86.0,90.0,4680800
2025-03-04,90.0,92.0,88.0,91.0,5405300
2025-03-05,91.0,92.0,89.0,91.0,3607500
2025-03-06,91.0,92.0,89.0,90.0,2491800
