Date,Open,High,Low,Close,Volume
2021-09-08,700.0,850.0,700.0,850.0,84199200
2021-09-09,900.0,950.0,800.0,860.0,79280900
2021-09-10,865.0,865.0,805.0,820.0,14105800
2021-09-13,820.0,820.0,785.0,805.0,7922500
2021-09-14,805.0,815.0,800.0,815.0,5772200
2021-09-15,815.0,850.0,805.0,840.0,42961000
2021-09-16,840.0,870.0,830.0,860.0,39646100
2021-09-17,860.0,865.0,845.0,865.0,53091300
2021-09-20,875.0,895.0,870.0,890.0,41008800
2021-09-21,900.0,910.0,895.0,910.0,33299100
2021-09-22,910.0,945.0,905.0,945.0,40179800
2021-09-23,945.0,950.0,940.0,940.0,28241100
2021-09-24,945.0,960.0,945.0,960.0,26863700
2021-09-27,960.0,970.0,950.0,960.0,28751800
2021-09-28,960.0,980.0,960.0,980.0,28266100
2021-09-29,975.0,980.0,955.0,960.0,27714800
2021-09-30,955.0,960.0,950.0,960.0,28097000
2021-10-01,955.0,960.0,945.0,960.0,30257800
2021-10-04,960.0,965.0,955.0,960.0,26065800
2021-10-05,965.0,990.0,960.0,985.0,26922400
2021-10-06,985.0,990.0,975.0,980.0,21705900
2021-10-07,975.0,980.0,935.0,945.0,28425300
2021-10-08,945.0,960.0,935.0,940.0,19928800
2021-10-11,940.0,940.0,930.0,940.0,22873400
2021-10-12,935.0,940.0,920.0,930.0,54034300
2021-10-13,930.0,945.0,925.0,940.0,56221200
2021-10-14,940.0,960.0,935.0,945.0,64590900
2021-10-15,945.0,950.0,940.0,945.0,57612500
2021-10-18,945.0,950.0,935.0,950.0,57276400
2021-10-19,945.0,950.0,925.0,935.0,53871200
2021-10-21,935.0,935.0,915.0,920.0,27957100
2021-10-22,915.0,940.0,905.0,940.0,56987700
2021-10-25,940.0,980.0,930.0,980.0,61698800
2021-10-26,980.0,985.0,965.0,985.0,53775800
2021-10-27,975.0,980.0,965.0,975.0,52153700
2021-10-28,970.0,990.0,965.0,985.0,55682300
2021-10-29,985.0,1025.0,980.0,1025.0,64323500
2021-11-01,1030.0,1030.0,1020.0,1020.0,50470300
2021-11-02,1020.0,1020.0,995.0,1015.0,53465800
2021-11-03,1010.0,1025.0,1005.0,1025.0,48874300
2021-11-04,1025.0,1070.0,1020.0,1055.0,52762700
2021-11-05,1060.0,1065.0,1040.0,1045.0,50190500
2021-11-08,1045.0,1045.0,1020.0,1025.0,49049000
2021-11-09,1025.0,1030.0,1015.0,1030.0,51067800
2021-11-10,1025.0,1035.0,1020.0,1030.0,51242800
2021-11-11,1030.0,1060.0,1025.0,1040.0,54926200
2021-11-12,1040.0,1090.0,1030.0,1090.0,59653000
2021-11-15,1090.0,1155.0,1085.0,1145.0,55398400
2021-11-16,1140.0,1165.0,1135.0,1145.0,54234800
2021-11-17,1145.0,1150.0,1130.0,1140.0,49049800
2021-11-18,1140.0,1145.0,1100.0,1115.0,28893300
2021-11-19,1115.0,1120.0,1075.0,1075.0,42340300
2021-11-22,1075.0,1105.0,1070.0,1080.0,29561300
2021-11-23,1080.0,1080.0,1045.0,1070.0,40907200
2021-11-24,1070.0,1070.0,1040.0,1045.0,35659000
2021-11-25,1045.0,1050.0,1030.0,1035.0,40482000
2021-11-26,1035.0,1035.0,1010.0,1015.0,29509700
2021-11-29,1015.0,1045.0,1005.0,1030.0,41110300
2021-11-30,1030.0,1045.0,1015.0,1020.0,48904600
2021-12-01,1020.0,1030.0,1005.0,1020.0,50416500
2021-12-02,1020.0,1030.0,1010.0,1020.0,49829700
2021-12-03,1020.0,1040.0,995.0,1010.0,52356100
2021-12-06,1015.0,1045.0,1010.0,1035.0,49884400
2021-12-07,1035.0,1045.0,1010.0,1035.0,50017600
2021-12-08,1035.0,1065.0,1030.0,1055.0,48783900
2021-12-09,1060.0,1080.0,1055.0,1075.0,48071600
2021-12-10,1080.0,1095.0,1075.0,1090.0,44594400
2021-12-13,1090.0,1110.0,1085.0,1090.0,47264300
2021-12-14,1085.0,1090.0,1065.0,1070.0,49384600
2021-12-15,1065.0,1090.0,1065.0,1075.0,46490400
